protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score
THTPA,Q9BU02,AP1G2,O75843,1,0.907190719,1,4.27747677609935e-18,6.33397066030834e-14,0.084998821,2.43880801899896e-69,0.006509153,8.23368491005574e-05,264,0,70,TRUE,TRUE
TNC,P24821,MATN2,O00339,0.888988899,0.826182618,0.930793079,6.09673465830058e-24,1.36957012723527e-19,0.068273811,1.7703728436186e-38,0.017838987,1.88629258965863e-31,175,0,77,TRUE,TRUE
TNFRSF11B,O00300,TNFSF11,O14788,-0.816981698,-0.879587959,-0.723772377,9.89660657102926e-16,1.00844967075864e-11,0.041019553,4.31408861563007e-26,0.027567713,2.61267751676645e-27,999,960,113,TRUE,TRUE
TNFRSF13C,Q96RJ3,FCRL1,Q96LA6,1,0.934393439,1,1.64814597503463e-10,5.38085364169559e-07,0.157360806,2.2662534058111e-26,0.003696451,6.1255686194476e-07,417,0,134,TRUE,TRUE
TNFRSF13C,Q96RJ3,TNFSF13B,Q9Y275,-1,-1,-0.98719872,3.27689988381638e-29,1.12658763698688e-24,0.157360806,2.2662534058111e-26,0.038206602,4.16962454300219e-18,999,977,0,TRUE,TRUE
TNFSF10,P50591,TNFRSF10C,O14798,-0.95679568,-1,-0.827982798,7.99852357293254e-11,2.83618535470235e-07,0.024159491,6.3291749207881e-09,0.009202589,5.53216337890991e-08,998,600,0,TRUE,TRUE
TNFSF13,O75888,TNFSF13B,Q9Y275,-0.871987199,-1,-0.641764176,3.08371424371687e-07,0.000372729,0.049965968,7.48599958442437e-23,0.002012008,0.00137603,850,292,0,TRUE,TRUE
TNFSF13B,Q9Y275,TNFRSF13B,O14836,0.96559656,0.901390139,1,4.51981802029242e-24,1.03293857072621e-19,0.032504829,1.59430115051981e-17,0.021777305,9.31379306323155e-15,999,778,0,TRUE,TRUE
TNFSF13B,Q9Y275,TNFRSF13C,Q96RJ3,1,0.809180918,1,3.83661944098224e-07,0.00044931,0.032504829,1.59430115051981e-17,0.001003124,0.164375774,999,977,0,TRUE,TRUE
TNFSF8,P32971,TNFRSF8,P28908,0.748174817,0.607760776,0.847184718,1.54569058431279e-11,6.52202739876828e-08,0.025219047,2.21677813803772e-64,0.008066709,0,999,510,0,TRUE,TRUE
TPSD1,Q9BZJ3,SIGLEC6,O43699,-1,-1,-0.927592759,1.54234403640332e-14,1.29192977754205e-10,0.097585552,4.13182305278108e-16,0.023229372,3.42232300725398e-10,164,0,125,TRUE,TRUE
UBE2L6,O14933,C1S,P09871,-0.919591959,-0.99459946,-0.754775478,2.43315650197772e-08,4.21739624510247e-05,0.033066977,2.42331622937075e-27,0.002858217,1.25471630708896e-05,167,0,45,TRUE,TRUE
UFD1,Q92890,DNM1,Q05193,1,0.885188519,1,1.48382579453804e-08,2.75166376280987e-05,0.000841418,0.128556484,0.000959621,0,194,0,76,TRUE,TRUE
UMOD,P07911,AMBP,P02760,0.900190019,0.657765777,1,1.05001376456559e-07,0.000147842,0.369762228,2.19508970855954e-106,0.001793575,0.003422053,711,0,45,TRUE,TRUE
UMOD,P07911,CD55,P08174,1,0.778177818,1,1.38721295224329e-08,2.58828339896417e-05,0.369762228,2.19508970855954e-106,0.001177528,0.098482101,151,0,101,TRUE,TRUE
UMOD,P07911,CDH6,P55285,1,0.775577558,1,2.22352709786567e-07,0.000281314,0.369762228,2.19508970855954e-106,0.00098578,0.205059467,176,0,66,TRUE,TRUE
UMOD,P07911,GSN,P06396,0.98219822,0.713971397,1,2.97046401611352e-07,0.000360805,0.369762228,2.19508970855954e-106,0.001138808,0.110783026,237,0,45,TRUE,TRUE
UMOD,P07911,HAVCR1,Q96D42,0.943794379,0.867786779,0.98679868,2.61843278794775e-20,4.52069905314231e-16,0.369762228,2.19508970855954e-106,0.010952704,2.3901312069243e-10,668,0,107,TRUE,TRUE
UMOD,P07911,HSPG2,P98160,0.98419842,0.804980498,1,2.46800989221988e-10,7.71768125179986e-07,0.369762228,2.19508970855954e-106,0.002291893,0,286,0,45,TRUE,TRUE
UMOD,P07911,LCN2,P80188,1,0.865786579,1,7.32052370214179e-09,1.49807886655181e-05,0.369762228,2.19508970855954e-106,0.00077301,0.27683933,590,0,61,TRUE,TRUE
UMOD,P07911,MMP7,P09237,0.922992299,0.774977498,1,6.5629285971166e-12,3.05820185912978e-08,0.369762228,2.19508970855954e-106,0.00423922,3.1995853532131e-05,195,0,52,TRUE,TRUE
UMOD,P07911,PTGDS,P41222,0.829182918,0.601360136,0.9689969,1.08142090179374e-07,0.000151724,0.369762228,2.19508970855954e-106,0.002355626,0.000247746,344,0,45,TRUE,TRUE
UMOD,P07911,SBSN,Q6UWP8,1,0.819381938,1,4.25063792114937e-08,6.80112904704378e-05,0.369762228,2.19508970855954e-106,0.001123244,0.097509132,151,0,98,TRUE,TRUE
USP25,Q9UHP3,NFKB1,P19838,0.95919592,0.765976598,1,3.49484252501123e-07,0.000414392,0.000798518,0.068663341,0.000786414,0.136333508,212,0,46,TRUE,TRUE
USP25,Q9UHP3,USO1,O60763,1,0.840984098,1,1.24196627905654e-08,2.3607289061315e-05,0.000798518,0.068663341,0.000882408,0.120923786,152,0,90,TRUE,TRUE
YARS1,P54577,EIF4G1,Q04637,1,0.867386739,1,2.57920052672856e-07,0.000319264,0.00090292,0.006435785,0.000312302,0.255266029,383,0,125,TRUE,TRUE
YARS1,P54577,HARS1,P12081,0.9569957,0.787178718,1,2.29976225369542e-07,0.000289109,0.00090292,0.006435785,0.000512321,0.247964631,924,0,63,TRUE,TRUE
